iteration,Episode_1,Episode_3,Episode_4,Episode_6,Episode_10,Episode_12,Episode_13,Episode_19,Episode_20,Episode_21,Episode_23,RawMCTS_16,RawMCTS_64,RawMCTS_256,RawMCTS_1024,RawMCTS_4096
170,1082.118711233781,1116.1565941893716,1130.9799195016237,1123.0447435265805,1177.9629595304693,1162.1896528255274,1122.9067983741609,1107.544860345003,1212.9600296688932,1173.594750052435,1163.2316415639789,1124.5727443109024,1301.4517313729696,1363.0562525567984,1438.6450004994956,1399.583610448009
180,1068.410864212979,1132.8388196460558,1114.2976940449396,1101.6713717041455,1177.9629595304693,1155.38580210055,1145.9447885361492,1107.544860345003,1200.4444401488,1204.2625055194312,1162.5748240155503,1124.5727443109024,1302.3700029407605,1351.8923940444568,1438.6450004994956,1411.1809284003114
190,1087.344333191918,1113.9053506671169,1100.6962707754515,1088.9003674154737,1192.3472070155728,1126.4110896615261,1145.9447885361492,1123.4172007106663,1197.8087772752506,1203.000507883104,1180.956563301993,1124.5727443109024,1312.9764763106114,1351.8923940444568,1438.6450004994956,1411.1809284003114
200,1097.9301264308533,1106.9296421623008,1100.0378123252847,1067.1726978760075,1191.7082517633467,1128.9025657449615,1145.9447885361492,1123.4172007106663,1197.8087772752506,1199.076284705223,1179.1040424707837,1119.9382031680746,1328.5109491361363,1363.6927287951544,1438.6450004994956,1411.1809284003114
210,1085.0262965732704,1102.1978247526415,1100.0378123252847,1067.1726978760075,1191.7082517633467,1122.3228757162613,1160.7493728118575,1126.0426500240615,1178.322774332926,1199.076284705223,1202.7989488788435,1105.1336188923663,1343.328756994548,1347.7004708601983,1438.6450004994956,1429.7363629936679
220,1085.8730860783373,1102.1978247526415,1093.8369908104007,1067.1726978760075,1183.1274685819774,1137.336976384609,1160.7493728118575,1115.0017720573103,1178.322774332926,1177.7809550643462,1196.2509714867042,1105.1336188923663,1317.2198214702023,1388.7153024206975,1449.4431603411433,1441.8372066384725
230,1085.8730860783373,1102.1978247526415,1093.8369908104007,1057.9496796182927,1183.1274685819774,1124.6072337086866,1160.7493728118575,1096.336578588386,1184.5809720180691,1172.3227645246461,1188.4937221374937,1105.1336188923663,1320.475235741193,1408.8795475536892,1457.991879504134,1457.4440246778283
240,1083.5511051417923,1102.1978247526415,1092.4356187914168,1055.032881596523,1177.8223673063596,1127.5013136690766,1160.7493728118575,1096.336578588386,1184.5809720180691,1172.3227645246461,1188.4937221374937,1104.0932673266154,1308.4607610238697,1401.7957122381035,1475.4993288303017,1469.1264092428469
250,1101.5643598040635,1117.340306125676,1076.726122673048,1052.3801090946693,1174.9360810504168,1128.8933545856435,1136.2704726794054,1126.897296210701,1165.175676439231,1152.559639227024,1188.4937221374937,1104.0932673266154,1315.7486194474548,1408.1891616222777,1475.4993288303017,1475.232482745978
260,1074.5174477890143,1116.7305528915163,1089.4429858520866,1051.084646066472,1191.5601167842135,1128.8933545856435,1127.8713663207993,1128.0769463197253,1165.175676439231,1151.3799891179997,1171.869686403697,1104.7030205607753,1330.998488144891,1408.1891616222777,1481.3610514963968,1478.1455096052603
270,1077.0477119758646,1116.7305528915163,1089.4429858520866,1044.8888181936748,1191.5601167842135,1142.4094985747236,1108.8293561811913,1131.109103377125,1178.4185934991665,1145.4381506551456,1191.692897634913,1091.4601035008398,1305.1167083972266,1414.1310000851317,1477.43081584332,1494.293586553861
280,1097.0253872901483,1113.4613620524135,1086.345778817367,1044.8888181936748,1128.784281957898,1138.894158065978,1108.8293561811913,1150.758510125673,1178.4185934991665,1145.4381506551456,1197.0722167830427,1091.4601035008398,1307.1084543092768,1421.604513217192,1480.5280228780396,1509.3822924729527
290,1076.4515087087618,1113.4613620524135,1102.6404970054416,1039.0962039153999,1145.794885392123,1155.034032364645,1125.9749342469331,1116.6023286257061,1207.4979947973748,1095.405457450169,1180.8031486996497,1109.0360057863807,1312.9010685875517,1425.883673610504,1480.5280228780396,1512.888875878906
300,1076.4515087087618,1099.3538951551523,1081.9962497089334,1035.029691788415,1168.85794474352,1162.512376395436,1125.9749342469331,1116.6023286257061,1216.619498811566,1123.2506185053164,1180.8031486996497,1094.722526606102,1323.6130743075942,1398.0385125553566,1480.5280228780396,1515.6456682635173
310,1065.1143073162395,1084.5774458174262,1087.064079029349,1040.5872432311044,1168.85794474352,1155.3909750071925,1140.7513835846592,1116.6023286257061,1175.2975639949598,1139.430407493471,1192.0620226442552,1102.2506641516518,1333.7820285459295,1398.0385125553566,1484.5474249956615,1515.6456682635173
320,1065.1143073162395,1084.5774458174262,1087.064079029349,1046.3539919885695,1160.0754578712658,1143.9422253537177,1123.6410659716282,1126.1935136210016,1168.3479328647563,1133.5923410547373,1192.0620226442552,1102.2506641516518,1354.1707032334673,1404.98814368556,1488.4069892407058,1519.2191161556682
330,1067.5497665711446,1078.983477562117,1071.8403492873422,1045.1585090777537,1160.0754578712658,1140.3730988287796,1119.1575480621857,1126.1935136210016,1185.438314331082,1133.5923410547373,1168.2471595060906,1115.861448573763,1359.7646714887765,1411.712625357399,1494.1091766826623,1521.9425421238986
340,1067.5497665711446,1067.437686342366,1104.9358557323742,1029.4615973466746,1160.0754578712658,1140.3730988287796,1098.4963416265318,1122.8940906445507,1192.2487611866231,1126.7495704161715,1168.2471595060906,1113.176183809301,1366.6074421273422,1411.712625357399,1505.273990150341,1524.7603724830437
350,1086.8551409521874,1081.6074023999352,1104.9358557323742,1013.3491256422341,1141.9286897699246,1121.0677244477367,1116.340801291312,1108.2722067263219,1185.1959538456,1126.7495704161715,1154.5476067354325,1130.6002069229364,1374.35080868894,1418.7654326984223,1507.2167457972125,1528.2167279332584
360,1067.6322843876976,1079.376908930296,1115.6122713493571,1013.3491256422341,1140.969159612424,1106.4219735441216,1135.470827125504,1108.2722067263219,1162.5269816953255,1152.5469811567189,1154.5476067354325,1146.2054879840523,1339.3912562458725,1427.3118736459292,1516.3788874997329,1533.98616771898
370,1069.3627433012473,1066.3761315255758,1115.6122713493571,1033.614881777409,1153.680259767752,1106.4219735441216,1152.714296497826,1103.8788288809078,1158.062045901008,1152.5469811567189,1154.5476067354325,1111.0841213494468,1339.3912562458725,1416.2858177741377,1516.3788874997329,1550.0418966934537
380,1044.3721706272174,1064.1438992735707,1114.7068513129134,1033.614881777409,1148.0548155136148,1095.5081455051882,1152.714296497826,1121.1709909427273,1164.0498452620886,1149.8215637625017,1148.7418336493565,1124.6558288074086,1339.3912562458725,1427.717035114351,1518.611119751738,1552.725465956216
