episode,num_examples,epochs_run,epochs_configured,stopped_early,train_loss,val_loss,train_policy_loss,val_policy_loss,train_value_loss,val_value_loss,train_policy_acc,val_policy_acc
0,6717,50,50,False,1.8457328081130981,2.2022480964660645,1.8161512613296509,2.0618081092834473,0.02853349782526493,0.11122550815343857,0.7723738551139832,0.1369047611951828
1,13486,4,50,True,2.981414556503296,5.111727714538574,2.2731287479400635,4.072636127471924,0.7065132260322571,1.032653570175171,0.1736837774515152,0.05707931891083717
2,20178,23,50,True,1.9199354648590088,2.2164433002471924,1.868227481842041,2.054932117462158,0.0510769858956337,0.16077890992164612,0.5767070651054382,0.17244796454906464
3,26813,20,50,True,1.9566776752471924,2.243342399597168,1.8939218521118164,2.084019422531128,0.06333659589290619,0.16183431446552277,0.4862624704837799,0.15883669257164001
4,33131,9,50,True,1.8797247409820557,2.095400333404541,1.8181884288787842,1.980186104774475,0.0613434836268425,0.11478649079799652,0.5640741586685181,0.28937840461730957
5,39527,10,50,True,1.7983630895614624,2.041757822036743,1.7353579998016357,1.925481915473938,0.06295022368431091,0.1131042018532753,0.636335551738739,0.3617505729198456
6,40000,9,50,True,1.773622989654541,2.009392023086548,1.7025569677352905,1.8831926584243774,0.07126396149396896,0.12627819180488586,0.6428333520889282,0.3762499988079071
7,40000,8,50,True,1.733250379562378,1.9703395366668701,1.6614644527435303,1.8508003950119019,0.0706053152680397,0.11947118490934372,0.6779999732971191,0.4320000112056732
8,40000,8,50,True,1.7055573463439941,1.9574955701828003,1.6346800327301025,1.846661925315857,0.07079543173313141,0.11046867072582245,0.6878610849380493,0.4112499952316284
9,40000,9,50,True,1.6880769729614258,2.009859800338745,1.6085867881774902,1.8659868240356445,0.07929515093564987,0.1427886188030243,0.7112500071525574,0.39024999737739563
10,40000,12,50,True,1.652977705001831,2.062807083129883,1.5793429613113403,1.891047477722168,0.07415693253278732,0.17086482048034668,0.7392500042915344,0.37700000405311584
11,40000,7,50,True,1.6564431190490723,1.9424766302108765,1.5801111459732056,1.8165018558502197,0.07596304267644882,0.1273668110370636,0.7156111001968384,0.4492500126361847
12,40000,9,50,True,1.6142178773880005,1.9813530445098877,1.5390616655349731,1.8485547304153442,0.07504595816135406,0.13268320262432098,0.7515277862548828,0.4244999885559082
13,40000,7,50,True,1.610973596572876,1.9730027914047241,1.5339630842208862,1.8300062417984009,0.07640901207923889,0.14392338693141937,0.746749997138977,0.445499986410141
14,40000,6,50,True,1.6106936931610107,1.940047264099121,1.5328058004379272,1.7993156909942627,0.07844997942447662,0.14005154371261597,0.7357222437858582,0.47850000858306885
15,40000,8,50,True,1.571605920791626,1.967873215675354,1.4972788095474243,1.8208402395248413,0.07420781999826431,0.1481105536222458,0.7691110968589783,0.4490000009536743
16,40000,10,50,True,1.5547248125076294,1.9994436502456665,1.4795653820037842,1.8236161470413208,0.07493432611227036,0.17742261290550232,0.7918611168861389,0.45500001311302185
17,40000,7,50,True,1.584020733833313,1.9998056888580322,1.5016568899154663,1.8258949518203735,0.0829685777425766,0.17286963760852814,0.758222222328186,0.43825000524520874
18,40000,10,50,True,1.541122555732727,2.011943817138672,1.46592378616333,1.8209996223449707,0.07487830519676208,0.19011801481246948,0.7925277948379517,0.43525001406669617
19,40000,9,50,True,1.5547806024551392,2.06144642829895,1.4685028791427612,1.8489258289337158,0.08558777719736099,0.21173064410686493,0.7797777652740479,0.4205000102519989
20,40000,8,50,True,1.5449525117874146,1.9990595579147339,1.468358039855957,1.8101156949996948,0.07828143984079361,0.1885555386543274,0.7821111083030701,0.44200000166893005
21,40000,8,50,True,1.5239619016647339,1.9635610580444336,1.4467413425445557,1.7946462631225586,0.07686608284711838,0.1667543649673462,0.7963055372238159,0.4647499918937683
22,40000,7,50,True,1.5387964248657227,1.9563359022140503,1.457464337348938,1.7941354513168335,0.08092667162418365,0.16090479493141174,0.785277783870697,0.46825000643730164
23,40000,5,50,True,1.5720601081848145,1.9734917879104614,1.4858441352844238,1.7899491786956787,0.08640449494123459,0.18267080187797546,0.7476944327354431,0.4632500112056732
